cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
AVLP454_a,10,-0.0,0.9849548317455994,0.3991741249849449,-2.4674816579926055,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
LHAV1d2,10,-0.0,0.982077752923714,0.39533804287997215,-2.4841468475167234,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SAD007,10,-0.0,0.9794410255394799,0.3939883996279963,-2.485964120934189,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SMP408_d,10,-0.0,0.9701134980879975,0.3899012621112721,-2.4881004304395953,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SMP409,10,-0.0,0.9755396743816926,0.3918503562566457,-2.489571998099077,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
LPTe02,10,-0.0,0.9670494272334618,0.38778318861559896,-2.493788940892115,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
MTe09,10,-0.0,0.9714723550770792,0.38873695720147033,-2.4990481020141213,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
PVLP111,10,-0.0,0.9647484368070923,0.3858924641096416,-2.5000447703300663,1.0,1.0,GABA,1.0,1,"{""GABA"": 10}"
aSP-g2,10,-0.0,0.98004887666432,0.3917297495965967,-2.501849496173253,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1359,10,-0.0,0.977469877561553,0.39068720440554455,-2.501924471902876,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
CB1789,11,-0.0,0.9938337334804364,0.3967987010400757,-2.50462950326055,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 11}"
PLP191b,10,-0.0,0.9735614889617084,0.3885730246430853,-2.5054788346564987,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SLP289,10,-0.0,0.9897036417552537,0.3948975166578342,-2.5062290847799877,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
CB2558,10,-0.0,0.9784243529594742,0.38980203797402385,-2.5100544831545384,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CL086_a,10,-0.0,0.9906719596710608,0.3945084084586266,-2.511155499933928,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2342,10,-0.0,0.9741480840701904,0.38626812646915276,-2.5219478836496374,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
CB1457,10,-0.0,0.9923373536222466,0.3933125319576615,-2.523025006813329,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
LHPV5d1,10,-0.0,0.9975129869362506,0.39515620725548695,-2.5243510505993694,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
JO-C,10,-0.0,0.9888198786769833,0.3916438634483143,-2.5247934947089474,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2928,10,-0.0,0.983333388452125,0.3891931733712871,-2.5265946469056715,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1640,10,-0.0,0.9850760116975646,0.3897604709824076,-2.5273881910462577,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2376,10,-0.0,0.9699443787553361,0.3836252513091233,-2.5283642707183525,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
