cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
Tlp4,91,2,0.08728058888363333,GLUT,0.989010989010989,"{'GLUT': np.int64(90), 'GABA': np.int64(1)}"
JO-E,101,2,0.08013604733127525,ACH,0.9900990099009901,"{'ACH': np.int64(100), 'GABA': np.int64(1)}"
Li02,102,2,0.07949044238393407,ACH,0.9901960784313726,"{'ACH': np.int64(101), 'GLUT': np.int64(1)}"
Tm31,107,2,0.07642429309554775,GABA,0.9906542056074766,"{'GABA': np.int64(106), 'GLUT': np.int64(1)}"
L5,1427,3,0.07284889460099946,ACH,0.9922915206727401,"{'ACH': np.int64(1416), 'GLUT': np.int64(6), 'GABA': np.int64(5)}"
Tm37,229,2,0.07227581161206317,ACH,0.9912663755458515,"{'ACH': np.int64(227), 'GLUT': np.int64(2)}"
Dm10,479,2,0.0696495721898393,GABA,0.9916492693110647,"{'GABA': np.int64(475), 'ACH': np.int64(4)}"
T4a,1375,3,0.06938708306249577,ACH,0.9927272727272727,"{'ACH': np.int64(1365), 'GABA': np.int64(5), 'GLUT': np.int64(5)}"
Tm36,278,2,0.06155707966316687,ACH,0.9928057553956835,"{'ACH': np.int64(276), 'GLUT': np.int64(2)}"
Sm12,143,2,0.06012244887863518,GABA,0.993006993006993,"{'GABA': np.int64(142), 'GLUT': np.int64(1)}"
T5a,1393,3,0.05649365647510572,ACH,0.994256999282125,"{'ACH': np.int64(1385), 'GLUT': np.int64(5), 'GABA': np.int64(3)}"
Y4,162,2,0.054185698091702955,GLUT,0.9938271604938271,"{'GLUT': np.int64(161), 'ACH': np.int64(1)}"
T5c,1459,3,0.05205242552224368,ACH,0.9945167923235092,"{'ACH': np.int64(1451), 'GLUT': np.int64(7), 'GABA': np.int64(1)}"
Dm9,179,2,0.04984622021387214,ACH,0.994413407821229,"{'ACH': np.int64(178), 'GABA': np.int64(1)}"
