cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
ORN_VM6v,26,-0.0,1.0933542413503081,0.2469086890911738,-4.428172395936114,1.0,1.0,ACH,1.0,1,"{""ACH"": 26}"
ER3w,25,-0.0,1.0736513561957706,0.24239369254360643,-4.429370025800575,1.0,1.0,GABA,1.0,1,"{""GABA"": 25}"
Mi13,545,0.9242909795281409,1.1706701554685803,0.05558747453301995,-4.432278638492307,1.0,1.0,GABA,0.6605504587155964,2,"{""GABA"": 360, ""GLUT"": 185}"
Li04,26,-0.0,1.092182901979783,0.24630442366944919,-4.434280496096725,1.0,1.0,GABA,1.0,1,"{""GABA"": 26}"
Sm30,26,-0.0,1.0943204752412934,0.24615304906905347,-4.445691326514111,1.0,1.0,GABA,1.0,1,"{""GABA"": 26}"
PVLP133,25,-0.0,1.0829412069198812,0.2426951381580445,-4.4621462759367825,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
FS4C,25,-0.0,1.079211893417486,0.24185135522333773,-4.462294174125621,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
Li14,26,-0.0,1.0760226186634034,0.24109819898917634,-4.463005626648043,1.0,1.0,GABA,1.0,1,"{""GABA"": 26}"
LPi11,35,0.18717625687320816,1.1044419248437618,0.20535464332246342,-4.4667393594319345,1.0,1.0,GABA,0.9714285714285714,2,"{""GABA"": 34, ""GLUT"": 1}"
PS008,24,-0.0,1.084984048432855,0.24266550634044673,-4.471109490570449,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 24}"
AN_AVLP_53,27,-0.0,1.0940715591793035,0.24394716893582,-4.484870900334746,1.0,1.0,ACH,1.0,1,"{""ACH"": 27}"
FS4A,45,0.3067556640587811,1.1219693890197304,0.18090791484658394,-4.506235814238853,1.0,1.0,ACH,0.9555555555555556,3,"{""ACH"": 43, ""SER"": 1, ""GLUT"": 1}"
