cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
MeTu1,242,2,0.038671790863764946,ACH,0.9958677685950413,"{""ACH"": 241, ""GABA"": 1}"
T4b,1427,3,0.030079099917705986,ACH,0.9971969166082691,"{""ACH"": 1423, ""GABA"": 3, ""GLUT"": 1}"
L3,1379,3,0.024373889831538886,ACH,0.9978245105148659,"{""ACH"": 1376, ""GABA"": 2, ""GLUT"": 1}"
T5b,1414,3,0.02384737607195917,ACH,0.9978783592644979,"{""ACH"": 1411, ""GABA"": 2, ""GLUT"": 1}"
TmY4,430,2,0.023695834967820677,ACH,0.9976744186046511,"{""ACH"": 429, ""GABA"": 1}"
Tm20,1459,3,0.02320488338786912,ACH,0.997943797121316,"{""ACH"": 1456, ""GABA"": 2, ""GLUT"": 1}"
TmY10,446,2,0.022964072555005984,ACH,0.9977578475336323,"{""ACH"": 445, ""GLUT"": 1}"
Mi1,1487,2,0.020970676230336868,ACH,0.9979825151311366,"{""ACH"": 1484, ""GLUT"": 3}"
Tm27,1102,3,0.020956975673495064,ACH,0.9981851179673321,"{""ACH"": 1100, ""GABA"": 1, ""GLUT"": 1}"
Tm25,715,2,0.015277601572357066,ACH,0.9986013986013986,"{""ACH"": 714, ""GLUT"": 1}"
TmY3,726,2,0.015076483100206293,ACH,0.9986225895316805,"{""ACH"": 725, ""GLUT"": 1}"
Tm9,1518,2,0.014505534000858198,ACH,0.9986824769433466,"{""ACH"": 1516, ""GABA"": 2}"
Mi4,1526,2,0.014439434423113212,GABA,0.9986893840104849,"{""GABA"": 1524, ""ACH"": 2}"
Tm21,1272,2,0.00924136065282799,ACH,0.9992138364779874,"{""ACH"": 1271, ""GABA"": 1}"
ORN_DL5,40,1,-0.0,ACH,1.0,"{""ACH"": 40}"
ORN_DC4,22,1,-0.0,ACH,1.0,"{""ACH"": 22}"
ORN_DL4,41,1,-0.0,SER,1.0,"{""SER"": 41}"
PFNm,81,1,-0.0,ACH,1.0,"{""ACH"": 81}"
PFNd,39,1,-0.0,ACH,1.0,"{""ACH"": 39}"
PFNa,54,1,-0.0,ACH,1.0,"{""ACH"": 54}"
ORN_DL2v,18,1,-0.0,ACH,1.0,"{""ACH"": 18}"
ORN_DL2d,14,1,-0.0,ACH,1.0,"{""ACH"": 14}"
PFL3,24,1,-0.0,ACH,1.0,"{""ACH"": 24}"
PFNv,21,1,-0.0,ACH,1.0,"{""ACH"": 21}"
ORN_DL1,67,1,-0.0,ACH,1.0,"{""ACH"": 67}"
ORN_DL3,68,1,-0.0,SER,1.0,"{""SER"": 68}"
PS087,18,1,-0.0,GLUT,1.0,"{""GLUT"": 18}"
PS008,24,1,-0.0,GLUT,1.0,"{""GLUT"": 24}"
PS005,19,1,-0.0,GLUT,1.0,"{""GLUT"": 19}"
PLP191b,10,1,-0.0,ACH,1.0,"{""ACH"": 10}"
PLP188,16,1,-0.0,ACH,1.0,"{""ACH"": 16}"
PLP182,16,1,-0.0,GLUT,1.0,"{""GLUT"": 16}"
MeTu4a,126,1,-0.0,ACH,1.0,"{""ACH"": 126}"
PLP160,10,1,-0.0,GABA,1.0,"{""GABA"": 10}"
PFL2,12,1,-0.0,ACH,1.0,"{""ACH"": 12}"
MeTu4d,33,1,-0.0,ACH,1.0,"{""ACH"": 33}"
PLP115_b,22,1,-0.0,ACH,1.0,"{""ACH"": 22}"
PLP048,11,1,-0.0,GLUT,1.0,"{""GLUT"": 11}"
PLP042c,13,1,-0.0,GLUT,1.0,"{""GLUT"": 13}"
Mi10,405,1,-0.0,ACH,1.0,"{""ACH"": 405}"
PLP041,10,1,-0.0,GLUT,1.0,"{""GLUT"": 10}"
